# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 552
9.50 a#2 0.18
9.69 f#2 0.18
9.88 a#2 0.18
10.06 f2 0.18
10.25 a#2 0.18
10.43 d#2 0.18
10.62 a#2 0.18
10.81 g#2 0.18
10.99 a#2 0.18
11.18 f#2 0.18
11.37 a#2 0.18
11.55 f2 0.18
11.74 a#2 0.18
11.93 b1 0.18
12.11 f#2 0.18
12.30 f2 0.18
12.48 f#2 0.18
12.67 d#2 0.18
12.86 f#2 0.18
13.04 c#2 0.18
13.23 f#2 0.18
13.42 b1 0.18
13.60 f#2 0.18
13.79 f2 0.18
13.98 f#2 0.18
14.16 c#2 0.18
14.35 g#2 0.18
14.53 f#2 0.18
14.72 g#2 0.18
14.91 d#2 0.18
15.09 a#2 0.18
15.28 g#2 0.18
15.47 a#2 0.18
15.65 f#2 0.18
15.84 a#2 0.18
16.02 f2 0.18
16.21 a#2 0.18
16.40 d#2 0.18
16.58 a#2 0.18
16.77 g#2 0.18
16.96 a#2 0.18
17.14 f#2 0.18
17.33 a#2 0.18
17.52 f2 0.18
17.70 a#2 0.18
17.89 b1 0.18
18.07 f#2 0.18
18.26 f2 0.18
18.45 f#2 0.18
18.63 d#2 0.18
18.82 f#2 0.18
19.01 c#2 0.18
19.19 f#2 0.18
19.38 b1 0.18
19.57 f#2 0.18
19.75 f2 0.18
19.94 f#2 0.18
20.12 c#2 0.18
20.31 g#2 0.18
20.50 f#2 0.18
20.68 g#2 0.18
20.87 d#2 0.18
21.06 a#2 0.18
21.24 d#2 0.18
21.43 a#2 0.18
21.61 d#2 0.18
21.80 a#2 0.18
21.99 d#2 0.18
22.17 a#2 0.18
22.36 d#2 0.18
22.55 a#2 0.18
22.73 d#2 0.18
22.92 a#2 0.18
23.11 d#2 0.18
23.29 a#2 0.18
23.48 d#2 0.18
23.66 a#2 0.18
23.85 b1 0.18
24.04 f#2 0.18
24.22 b1 0.18
24.41 f#2 0.18
24.60 b1 0.18
24.78 f#2 0.18
