# Start of Music
bpm 60

num_parts 2

# Instrument: FL Keys (MIDI)

part
num_notes 401
29.75 g#2 0.25
29.75 g#3 0.25
30.25 d#3 0.25
30.25 d#2 0.25
30.50 g#2 0.25
30.50 g#3 0.25
31.00 f#2 0.25
31.00 f#3 0.25
31.50 g2 0.25
31.50 g3 0.25
32.00 g#2 0.25
32.25 g#2 0.25
32.50 g#2 0.25
32.75 g#2 0.25
33.00 g#2 0.25
33.25 g#2 0.25
33.50 g#2 0.25
33.75 g#2 0.25
34.00 b2 0.25
34.25 b2 0.25
34.50 b2 0.25
34.75 b2 0.25
35.00 b2 0.25
35.25 b2 0.25
35.50 b2 0.25
35.75 b2 0.25
36.00 c#3 0.25
36.25 c#3 0.25
36.50 c#3 0.25
36.75 c#3 0.25
37.00 c#3 0.25
37.25 c#3 0.25
37.50 c#3 0.25
37.75 c#3 0.25
38.00 d#3 0.25
38.25 d#3 0.25
38.50 d#3 0.25
38.75 d#3 0.25
39.00 d#3 0.25
39.25 d#3 0.25
39.50 d#3 0.25
39.75 d#3 0.25
40.00 g#2 0.25
40.25 g#2 0.25
40.50 g#2 0.25
40.75 g#2 0.25
41.00 g#2 0.25
41.25 g#2 0.25
41.50 g#2 0.25
41.75 g#2 0.25
42.00 e3 0.25
42.25 e3 0.25
42.50 e3 0.25
42.75 e3 0.25
43.00 e3 0.25
43.25 e3 0.25
43.50 e3 0.25
43.75 e3 0.12
44.00 b2 0.25
44.25 b2 0.25
44.50 b2 0.25
44.75 b2 0.25
45.00 b2 0.25
45.25 b2 0.25
45.50 b2 0.25
45.75 b2 0.12
46.00 f#3 0.25
46.25 f#3 0.25
46.50 f#3 0.12
46.75 c#3 0.25
47.00 c#3 0.25
47.25 c#3 0.25
47.50 c#3 0.25
47.75 c#3 0.25
48.00 g#2 0.25
48.25 g#2 0.25
48.50 g#2 0.25
48.75 g#2 0.25
49.00 g#2 0.25
49.25 g#2 0.25
49.50 g#2 0.25
49.75 g#2 0.25
50.00 e3 0.25
50.25 e3 0.25
50.50 e3 0.25
50.75 e3 0.25
51.00 e3 0.25
51.25 e3 0.25
51.50 e3 0.25
51.75 e3 0.12
52.00 b2 0.25
52.25 b2 0.25
52.50 b2 0.25
52.75 b2 0.25
53.00 b2 0.25
53.25 b2 0.25
53.50 b2 0.25
53.75 b2 0.12
54.00 f#3 0.25
54.25 f#3 0.25
54.50 f#3 0.12
54.75 c#3 0.25
55.00 c#3 0.25
55.25 c#3 0.25
55.50 c#3 0.25
55.75 c#3 0.25
56.00 g#2 0.25
56.25 g#2 0.25
56.50 g#2 0.25
56.75 g#2 0.25
57.00 g#2 0.25
57.25 g#2 0.25
57.50 g#2 0.25
57.75 g#2 0.25
58.00 e3 0.25
58.25 e3 0.25
58.50 e3 0.25
58.75 e3 0.25
59.00 e3 0.25
59.25 e3 0.25
59.50 e3 0.25
59.75 e3 0.12
60.00 b2 0.25
60.25 b2 0.25
60.50 b2 0.25
60.75 b2 0.25
61.00 b2 0.25
61.25 b2 0.25
61.50 b2 0.25
61.75 b2 0.12
62.00 f#3 0.25
62.25 f#3 0.25
62.50 f#3 0.12
62.75 c#3 0.25
63.00 c#3 0.25
63.25 c#3 0.25
63.50 c#3 0.25
63.75 c#3 0.25
64.00 g#2 0.25
64.25 g#2 0.25
64.50 g#2 0.25
64.75 g#2 0.25
65.00 g#2 0.25
65.25 g#2 0.25
65.50 g#2 0.25
65.75 g#2 0.25
66.00 e3 0.25
66.25 e3 0.25
66.50 e3 0.25
66.75 e3 0.25
67.00 e3 0.25
67.25 e3 0.25
67.50 e3 0.25
67.75 e3 0.12
68.00 b2 0.25
68.25 b2 0.25
68.50 b2 0.25
68.75 b2 0.25
69.00 b2 0.25
