# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 795
59.75 e5 0.12
59.88 f5 0.12
60.00 f#5 0.25
60.25 g5 0.25
60.50 c5 0.12
60.62 a#4 0.12
60.75 a4 0.12
60.88 g4 0.12
61.00 f4 0.12
61.12 g4 0.12
61.25 a4 0.12
61.38 a#4 0.12
61.50 c5 0.12
61.62 d5 0.12
61.75 e5 0.12
61.88 f5 0.12
62.00 f5 0.12
62.12 e5 0.12
62.25 d5 0.12
62.38 c5 0.12
62.50 c5 0.12
62.62 a#4 0.12
62.75 a4 0.12
62.88 g4 0.12
63.00 a4 0.12
63.12 c5 0.12
63.25 f4 0.12
63.38 a4 0.12
63.50 g4 0.12
63.62 a#4 0.12
63.75 e4 0.12
63.88 g4 0.12
64.00 f4 0.50
64.50 c#6 0.12
64.62 d6 0.12
64.75 c#6 0.12
64.88 b5 0.12
65.00 a5 0.12
65.12 b5 0.12
65.25 a5 0.12
65.38 g#5 0.12
65.50 f#5 0.12
65.62 a5 0.12
65.75 g#5 0.12
65.88 f#5 0.12
66.00 f5 0.12
66.12 f#5 0.12
66.25 g#5 0.12
66.38 f5 0.12
66.50 c#5 0.12
66.62 d#5 0.12
66.75 f5 0.12
66.88 c#5 0.12
67.00 f#5 0.12
67.12 f5 0.12
67.25 f#5 0.12
67.38 g#5 0.12
67.50 a5 0.12
67.62 g#5 0.12
67.75 a5 0.12
67.88 b5 0.12
68.00 c#6 0.12
68.12 c6 0.12
68.25 c#6 0.12
68.38 c6 0.12
68.50 c#6 0.12
68.62 b5 0.12
68.75 c#6 0.12
68.88 a#5 0.12
69.00 d6 0.12
69.12 c#6 0.12
69.25 d6 0.12
69.38 c#6 0.12
69.50 d6 0.12
69.62 c#6 0.12
69.75 d6 0.12
69.88 c#6 0.12
70.00 d6 0.12
70.12 c#6 0.12
70.25 b5 0.12
70.38 a5 0.12
70.50 g#5 0.12
70.62 a5 0.12
70.75 b5 0.12
70.88 g#5 0.12
71.00 a5 0.12
71.12 b5 0.12
71.25 c#6 0.12
71.38 f#5 0.12
71.50 f5 0.12
