# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 589
108.00 d4 0.24
108.25 f4 0.12
108.25 f5 0.12
108.50 e4 0.12
108.50 e5 0.12
108.88 c4 0.12
108.88 c5 0.12
109.12 e4 0.12
109.12 e5 0.12
109.38 d4 0.24
109.38 d5 0.24
109.62 g4 0.12
109.75 a4 0.12
109.88 c5 0.12
110.25 f4 0.12
110.25 f5 0.12
110.50 e4 0.12
110.50 e5 0.12
110.88 c4 0.12
110.88 c5 0.12
111.12 e4 0.12
111.12 e5 0.12
111.38 d4 0.24
111.38 d5 0.24
111.62 g4 0.12
111.75 a4 0.12
111.88 c5 0.12
144.00 a#3 0.12
144.12 a#3 0.12
144.25 d5 0.12
144.50 a4 0.12
144.88 g#4 0.12
145.12 g4 0.12
145.38 f4 0.24
145.62 d4 0.12
145.75 f4 0.12
145.88 g4 0.12
146.00 c4 0.12
146.12 c4 0.12
146.25 d5 0.12
146.50 a4 0.12
146.88 g#4 0.12
147.12 g4 0.12
147.38 f4 0.24
147.62 d4 0.12
147.75 f4 0.12
147.88 g4 0.12
148.00 d4 0.24
end

# Instrument: 

part
num_notes 848
8.00 d3 0.12
8.25 d3 0.12
8.50 d3 0.12
8.62 d3 0.12
8.88 d3 0.12
9.12 d3 0.12
9.38 d3 0.12
9.50 d3 0.12
9.62 d3 0.12
9.75 d3 0.12
10.00 c3 0.12
10.25 c3 0.12
10.50 c3 0.12
10.62 c3 0.12
10.88 c3 0.12
11.12 c3 0.12
11.38 c3 0.12
11.50 c3 0.12
11.62 c3 0.12
11.75 c3 0.12
12.00 b2 0.12
12.25 b2 0.12
12.50 b2 0.12
12.62 b2 0.12
12.88 b2 0.12
13.12 b2 0.12
13.38 b2 0.12
13.50 b2 0.12
13.62 b2 0.12
13.75 b2 0.12
14.00 a#2 0.12
14.25 a#2 0.12
14.50 a#2 0.12
14.62 a#2 0.12
14.88 c3 0.12
15.12 c3 0.12
15.38 c3 0.12
15.50 c3 0.12
15.62 c3 0.12
15.75 c3 0.12
16.00 d2 0.12
16.00 d3 0.12
16.25 d2 0.12
16.25 d3 0.12
16.50 d2 0.12
16.50 d3 0.12
16.62 d2 0.12
16.62 d3 0.12
16.88 d2 0.12
16.88 d3 0.12
17.12 d2 0.12
17.12 d3 0.12
17.38 d2 0.12
17.38 d3 0.12
17.50 d2 0.12
17.50 d3 0.12
17.62 d2 0.12
17.62 d3 0.12
17.75 d2 0.12
17.75 d3 0.12
18.00 c2 0.12
18.00 c3 0.12
18.25 c2 0.12
18.25 c3 0.12
18.50 c2 0.12
18.50 c3 0.12
18.62 c2 0.12
18.62 c3 0.12
18.88 c2 0.12
18.88 c3 0.12
19.12 c2 0.12
19.12 c3 0.12
19.38 c2 0.12
19.38 c3 0.12
19.50 c2 0.12
19.50 c3 0.12
19.62 c2 0.12
19.62 c3 0.12
19.75 c2 0.12
19.75 c3 0.12
20.00 b1 0.12
20.00 b2 0.12
20.25 b1 0.12
20.25 b2 0.12
20.50 b1 0.12
20.50 b2 0.12
20.62 b1 0.12
20.62 b2 0.12
20.88 b1 0.12
20.88 b2 0.12
21.12 b1 0.12
21.12 b2 0.12
21.38 b1 0.12
21.38 b2 0.12
21.50 b1 0.12
21.50 b2 0.12
21.62 b1 0.12
21.62 b2 0.12
21.75 b1 0.12
21.75 b2 0.12
22.00 a#1 0.12
22.00 a#2 0.12
22.25 a#1 0.12
22.25 a#2 0.12
22.50 a#1 0.12
22.50 a#2 0.12
22.62 a#1 0.12
22.62 a#2 0.12
22.88 c2 0.12
22.88 c3 0.12
23.12 c2 0.12
23.12 c3 0.12
23.38 c2 0.12
23.38 c3 0.12
23.50 c2 0.12
23.50 c3 0.12
23.62 c2 0.12
23.62 c3 0.12
23.75 c2 0.12
23.75 c3 0.12
24.00 d2 0.12
24.00 d3 0.12
24.25 d2 0.12
24.25 d3 0.12
24.50 d2 0.12
24.50 d3 0.12
24.62 d2 0.12
24.62 d3 0.12
24.88 d2 0.12
24.88 d3 0.12
25.12 d2 0.12
25.12 d3 0.12
25.38 d2 0.12
25.38 d3 0.12
25.50 d2 0.12
25.50 d3 0.12
25.62 d2 0.12
25.62 d3 0.12
25.75 d2 0.12
25.75 d3 0.12
26.00 c2 0.12
26.00 c3 0.12
26.25 c2 0.12
26.25 c3 0.12
26.50 c2 0.12
26.50 c3 0.12
26.62 c2 0.12
26.62 c3 0.12
26.88 c2 0.12
26.88 c3 0.12
27.12 c2 0.12
27.12 c3 0.12
27.38 c2 0.12
27.38 c3 0.12
