# Start of Music
bpm 40

num_parts 2

# Instrument: 

part
num_notes 19245
109.58 d5 0.21
109.79 c5 0.21
110.00 b4 0.21
110.00 g4 0.41
110.21 c5 0.21
110.42 b4 0.21
110.62 a4 0.21
110.83 b4 0.21
111.04 g4 0.21
111.25 d4 0.21
111.25 d4 0.21
111.46 g4 0.21
111.67 b4 0.21
111.87 g4 0.21
111.87 g4 0.21
112.08 c5 0.21
112.29 d5 0.21
112.50 e5 0.21
112.71 f5 0.21
112.92 e5 0.21
113.12 d5 0.21
113.33 e5 0.21
113.54 c5 0.21
113.75 g4 0.21
113.75 g4 0.21
113.96 c5 0.21
114.17 e5 0.21
114.37 c5 0.21
114.37 c5 0.21
114.58 f#5 0.21
114.79 g5 0.21
115.00 a5 0.21
115.21 c5 0.21
115.42 b4 0.21
115.62 a4 0.21
115.83 b4 0.21
116.04 c5 0.21
116.25 d5 0.21
116.46 g4 0.21
116.67 b4 0.21
116.87 a4 0.21
117.08 g4 0.21
117.29 f#4 0.21
117.71 c4 0.21
117.92 b3 0.21
118.12 a3 0.21
117.50 g4 1.04
118.54 d4 0.21
118.75 g4 0.21
118.96 f#4 0.21
119.17 f#4 0.41
118.33 b3 1.66
119.58 g4 0.41
120.00 a4 0.10
120.10 g4 0.10
120.21 a4 0.62
120.83 b4 0.31
121.15 a4 0.10
121.25 b4 0.10
121.35 a4 0.10
121.46 b4 0.10
121.56 a4 0.10
121.67 b4 0.10
121.77 a4 0.21
121.87 a4 0.10
121.98 b4 0.10
122.08 c5 0.10
122.19 d5 0.10
122.29 e5 0.21
122.50 e5 0.21
122.71 d5 0.21
122.92 c5 0.21
123.12 b4 0.21
123.33 a4 0.83
124.17 g4 0.41
124.58 g5 0.41
125.00 f#5 0.41
125.42 e5 0.20
125.62 f#5 0.10
125.73 d#5 0.10
125.83 e5 0.10
125.83 d#5 0.20
125.94 d#5 0.10
126.04 e5 1.04
127.08 a5 0.10
127.19 b5 0.10
127.29 a5 0.10
127.40 g5 0.10
127.50 a5 0.62
128.12 f#5 0.21
128.33 e5 0.83
129.17 d#5 0.41
129.58 b4 0.41
130.00 g5 0.62
130.62 f#5 0.21
130.83 f#5 0.41
131.25 e5 0.62
131.87 b4 0.21
132.08 c5 0.10
132.19 b4 0.10
132.29 a4 0.10
132.40 b4 0.10
132.50 g5 0.10
132.60 e5 0.31
132.92 f#5 0.10
133.02 d#5 0.31
133.33 d#5 0.41
133.75 e5 0.62
134.37 g4 0.21
134.58 f#4 0.21
134.79 e4 0.21
135.00 f#4 0.62
135.00 f#4 0.62
135.62 e5 0.21
135.83 e5 0.21
136.04 d#5 0.21
136.25 a5 0.41
136.25 c5 0.41
136.67 g5 0.41
136.67 b4 0.41
137.08 f#5 0.41
137.50 f#5 0.41
137.92 e5 0.20
138.12 f#5 0.10
137.08 a4 1.25
138.23 d#5 0.10
138.33 d#5 0.83
139.17 e5 0.83
138.33 g4 1.66
140.00 e5 0.41
140.42 d5 0.21
140.62 c5 0.21
140.83 b4 0.83
141.67 a4 0.41
142.08 b4 0.21
142.29 c5 0.21
142.50 d5 0.10
142.60 c5 0.10
142.71 b4 0.21
142.92 c5 0.10
143.02 b4 0.10
143.12 a4 0.21
143.33 a4 0.83
144.17 g4 0.41
144.58 a4 0.21
144.79 b4 0.21
145.00 c5 0.21
145.21 d5 0.21
145.42 c5 0.21
145.62 b4 0.21
145.83 c5 0.21
146.04 a4 0.21
146.25 e4 0.21
146.25 e4 0.21
146.46 a4 0.21
146.87 b4 0.21
147.08 a4 0.21
147.29 g4 0.21
146.67 c5 1.04
147.71 d5 0.21
147.92 c5 0.21
147.50 f#4 0.83
148.12 b4 0.21
148.33 c5 0.21
148.54 a4 0.21
148.75 f#4 0.21
148.75 f#4 0.21
148.96 a4 0.21
149.17 c5 0.21
149.37 e5 0.21
149.58 d5 0.21
149.79 c5 0.21
150.00 b4 0.21
150.00 g4 0.41
150.21 c5 0.21
150.42 b4 0.21
150.62 a4 0.21
150.83 b4 0.21
151.04 g4 0.21
151.25 d4 0.21
151.25 d4 0.21
151.46 g4 0.21
151.67 b4 0.21
151.87 g4 0.21
151.87 g4 0.21
152.08 c5 0.21
152.29 d5 0.21
152.50 e5 0.21
152.71 f5 0.21
152.92 e5 0.21
153.12 d5 0.21
153.33 e5 0.21
153.54 c5 0.21
153.75 g4 0.21
153.75 g4 0.21
153.96 c5 0.21
154.17 e5 0.21
154.37 c5 0.21
154.37 c5 0.21
154.58 f#5 0.21
154.79 g5 0.21
155.00 a5 0.21
155.21 c5 0.21
155.42 b4 0.21
155.62 a4 0.21
155.83 b4 0.21
156.04 c5 0.21
156.25 d5 0.21
156.46 g4 0.21
156.67 b4 0.21
156.87 a4 0.21
157.08 g4 0.21
157.29 f#4 0.21
157.71 c4 0.21
157.92 b3 0.21
158.12 a3 0.21
157.50 g4 1.04
158.54 d4 0.21
158.75 g4 0.21
158.96 f#4 0.21
159.17 f#4 0.41
158.33 b3 1.66
159.58 g4 0.41
160.00 g4 0.14
160.14 f#4 0.14
160.28 g4 0.42
160.69 d4 0.14
160.83 e4 0.14
160.97 f#4 0.14
161.11 g4 0.14
161.25 a4 0.14
161.39 b4 0.14
161.53 c#5 0.14
161.67 d5 0.14
161.81 c#5 0.14
161.94 d5 0.42
162.36 a4 0.14
162.50 b4 0.14
162.64 c#5 0.14
162.78 d5 0.14
162.92 e5 0.14
163.06 f#5 0.14
163.19 d5 0.14
163.33 g5 0.14
163.47 f#5 0.14
163.61 g5 0.42
164.03 f#5 0.14
164.17 e5 0.14
164.31 d5 0.14
164.44 c#5 0.14
164.58 e5 0.14
164.72 a4 0.14
164.86 g4 0.14
165.00 f#4 0.14
165.14 e4 0.14
165.28 d4 0.14
165.42 c#4 0.14
165.56 d4 0.14
165.69 f#4 0.14
165.83 a3 0.14
165.97 g3 0.14
166.11 f#3 0.14
166.25 a3 0.14
166.39 d3 0.28
166.94 d5 0.14
167.08 c5 0.14
167.22 d5 0.28
167.50 g4 0.28
167.78 b3 0.28
168.06 d5 0.28
168.61 e5 0.14
168.75 d5 0.14
168.89 e5 0.28
169.17 a4 0.28
169.44 c4 0.28
169.72 e5 0.28
170.28 f#5 0.14
170.42 e5 0.14
170.56 f#5 0.28
170.83 d5 0.28
171.11 a5 0.28
171.39 c5 0.55
171.94 b4 0.28
172.36 g4 0.14
172.50 b4 0.14
172.64 d5 0.14
172.78 g5 0.14
172.92 d5 0.14
173.06 g5 0.14
173.19 a5 0.14
173.33 b5 0.14
173.47 g5 0.14
173.61 d5 0.14
173.75 b4 0.14
173.89 g4 0.14
174.03 b4 0.14
174.17 d5 0.14
174.31 g5 0.14
174.44 b5 0.14
174.58 g5 0.14
174.72 f#5 0.14
174.86 e5 0.14
175.00 a5 0.14
175.14 e5 0.14
175.28 c#5 0.14
175.42 a4 0.14
175.56 f#4 0.14
175.69 a4 0.14
175.83 c#5 0.14
175.97 e5 0.14
176.11 a5 0.14
176.25 f#5 0.14
176.39 e5 0.14
176.53 d5 0.14
