# Start of Music
bpm 60

num_parts 1

# Instrument: 

part
num_notes 1447
86.96 d5 0.17
87.14 b4 0.17
87.32 g#4 0.17
87.50 b4 0.17
87.68 d5 0.17
87.86 e5 0.17
88.04 d5 0.17
88.21 c5 0.17
88.39 b4 0.17
88.57 c5 0.17
88.75 e5 0.17
88.93 a5 0.17
89.11 g#5 0.17
89.29 a5 0.17
89.46 c6 0.17
89.64 a5 0.17
89.82 f#5 0.17
90.00 d#5 0.17
90.18 b4 0.17
90.36 d#5 0.17
90.54 f#5 0.17
90.71 b5 0.17
90.89 a5 0.17
91.07 g5 0.17
91.25 f#5 0.17
91.43 g5 0.17
91.61 f#5 0.17
91.79 e5 0.17
91.96 g5 0.17
92.14 a4 0.17
92.32 e5 0.17
92.50 g5 0.17
92.68 c6 0.17
92.86 f#5 0.17
93.04 e5 0.17
93.21 d5 0.17
93.39 f#5 0.17
93.57 g4 0.17
93.75 d5 0.17
93.93 f#5 0.17
94.11 b5 0.17
94.29 e5 0.17
94.46 d5 0.17
94.64 c5 0.17
94.82 e5 0.17
95.00 f#4 0.17
95.18 e5 0.17
95.36 f#5 0.17
95.54 a5 0.17
95.71 d#5 0.17
95.89 b4 0.17
96.07 c5 0.17
96.25 a4 0.17
96.43 d#4 0.17
96.61 c5 0.17
96.79 b4 0.17
96.96 a4 0.17
97.14 g4 0.17
97.32 e5 0.17
97.50 f5 0.17
97.68 d5 0.17
97.86 g#4 0.17
98.04 f5 0.17
98.21 e5 0.17
98.39 d5 0.17
98.57 a4 0.17
98.75 f#5 0.17
98.93 g5 0.17
99.11 e5 0.17
99.29 a#4 0.17
99.46 g5 0.17
99.64 f#5 0.17
99.82 e5 0.17
100.00 d#5 0.17
100.18 b5 0.17
100.36 g#5 0.17
100.54 d5 0.17
100.71 c#5 0.17
100.89 a5 0.17
101.07 f#5 0.17
101.25 c5 0.17
101.43 b4 0.17
101.61 g5 0.17
101.79 e5 0.17
101.96 a#4 0.17
102.14 a4 0.17
102.32 f#5 0.17
102.50 d#5 0.17
102.68 a4 0.17
102.86 g4 0.17
103.04 e5 0.17
103.21 c5 0.17
103.39 a4 0.17
103.57 f#4 0.17
103.75 c5 0.17
103.93 a4 0.17
104.11 f#4 0.17
104.29 d#4 0.17
104.46 f#4 0.17
104.64 a4 0.17
104.82 c5 0.17
105.00 b4 0.17
105.18 a5 0.17
105.36 g5 0.17
105.54 f#5 0.17
105.71 g5 0.17
105.89 f#5 0.08
105.98 e5 0.08
106.07 b5 0.17
106.25 c6 0.17
106.43 f#5 0.51
106.96 e5 0.17
107.14 e5 0.17
107.32 b4 0.17
107.50 c5 0.17
107.68 a4 0.17
107.86 b4 0.17
108.04 g4 0.17
108.21 a4 0.17
108.39 b4 0.17
108.57 e4 0.17
108.75 b4 0.17
108.93 e5 0.17
109.11 d#5 0.17
109.29 e5 0.17
109.46 g5 0.17
109.64 e5 0.17
109.82 b4 0.17
110.00 f#4 0.17
110.18 b4 0.17
110.36 e5 0.17
110.54 d#5 0.17
110.71 e5 0.17
110.89 g5 0.17
111.07 e5 0.17
111.25 b4 0.17
111.43 e4 0.17
111.61 g4 0.17
111.79 b4 0.17
111.96 c5 0.17
112.14 d#4 0.17
112.32 c5 0.17
112.50 b4 0.17
112.68 a4 0.17
112.86 g4 0.17
113.04 b4 0.17
113.21 d#5 0.17
113.39 e5 0.17
113.57 b4 0.17
