# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 1

# Instrument: Elec. Piano (Classic)

part
num_notes 905
72.00 e5 0.15 0.39
72.00 a5 0.15 0.39
72.30 e5 0.15 0.39
72.30 e5 0.15 0.39
72.30 a5 0.15 0.39
72.60 e5 0.15 0.39
72.60 c#5 0.15 0.39
72.90 e5 0.15 0.39
72.90 c#5 0.15 0.39
73.20 a4 0.15 0.39
73.20 c#5 0.15 0.39
73.50 c#5 0.15 0.39
73.50 a4 0.15 0.39
73.80 e5 0.15 0.39
73.80 a5 0.15 0.39
74.10 a5 0.15 0.39
74.10 e5 0.15 0.39
74.40 c#5 0.15 0.39
74.40 e5 0.15 0.39
74.70 c#5 0.15 0.39
74.70 e5 0.15 0.39
75.00 c#5 0.15 0.39
75.00 a4 0.15 0.39
75.30 c#5 0.15 0.39
75.30 a4 0.15 0.39
75.60 g5 0.15 0.39
75.60 e5 0.15 0.39
75.90 e5 0.15 0.39
75.90 g5 0.15 0.39
76.20 e5 0.15 0.39
76.20 c5 0.15 0.39
76.50 e5 0.15 0.39
76.50 c5 0.15 0.39
76.80 c5 0.15 0.39
76.80 g4 0.15 0.39
77.10 c5 0.15 0.39
77.10 g4 0.15 0.39
77.40 g5 0.15 0.39
77.40 e5 0.15 0.39
77.70 e5 0.15 0.39
77.70 g5 0.15 0.39
78.00 c5 0.15 0.39
78.00 e5 0.15 0.39
78.30 e5 0.15 0.39
78.30 c5 0.15 0.39
78.60 g4 0.15 0.39
78.60 c5 0.15 0.39
78.90 g4 0.15 0.39
78.90 c5 0.15 0.39
79.20 c5 0.15 0.39
79.20 f5 0.15 0.39
79.50 c5 0.15 0.39
79.50 f5 0.15 0.39
79.80 a4 0.15 0.39
79.80 c5 0.15 0.39
80.10 a4 0.15 0.39
80.10 c5 0.15 0.39
80.40 a4 0.15 0.39
80.40 f4 0.15 0.39
80.70 a4 0.15 0.39
80.70 f4 0.15 0.39
81.00 f5 0.15 0.39
81.00 c5 0.15 0.39
81.30 c5 0.15 0.39
81.60 a4 0.15 0.39
81.60 c5 0.15 0.39
81.90 a4 0.15 0.39
81.90 c5 0.15 0.39
82.20 a4 0.15 0.39
82.20 f4 0.15 0.39
82.50 a4 0.15 0.39
82.50 f4 0.15 0.39
82.80 d5 0.15 0.39
82.80 g5 0.15 0.39
83.10 d5 0.15 0.39
83.10 g5 0.15 0.39
83.40 b4 0.15 0.39
83.40 d5 0.15 0.39
83.70 d5 0.15 0.39
83.70 b4 0.15 0.39
84.00 b4 0.15 0.39
84.00 g4 0.15 0.39
84.30 b4 0.15 0.39
84.30 g4 0.15 0.39
84.60 d5 0.15 0.39
84.90 d5 0.15 0.39
84.90 g5 0.15 0.39
85.20 d5 0.15 0.39
85.20 b4 0.15 0.39
85.50 d5 0.15 0.39
85.50 b4 0.15 0.39
85.80 b4 0.15 0.39
85.80 g4 0.15 0.39
86.10 b4 0.15 0.39
86.10 g4 0.15 0.39
86.40 a4 0.15 0.39
87.00 e4 0.15 0.39
87.00 a4 0.15 0.39
87.30 g4 0.15 0.39
87.60 e4 0.15 0.39
87.60 a4 0.15 0.39
87.90 g4 0.15 0.39
87.90 d4 0.15 0.39
88.20 e4 0.15 0.39
88.20 a4 0.15 0.39
88.50 g4 0.15 0.39
88.50 d4 0.15 0.39
88.80 b3 0.15 0.39
88.80 e4 0.15 0.39
89.10 g4 0.15 0.39
89.10 d4 0.15 0.39
89.40 e4 0.15 0.39
89.40 b3 0.15 0.39
89.70 g4 0.15 0.39
89.70 d4 0.15 0.39
90.00 b3 0.15 0.39
90.00 e4 0.15 0.39
90.30 d4 0.15 0.39
90.30 g4 0.15 0.39
90.60 e4 0.15 0.39
90.60 b3 0.15 0.39
90.90 d4 0.15 0.39
90.90 g4 0.15 0.39
91.20 e4 0.15 0.39
91.20 b3 0.15 0.39
91.50 g4 0.15 0.39
91.50 d4 0.15 0.39
91.80 e4 1.35 0.39
91.80 a4 1.35 0.39
93.60 a4 0.30 0.39
93.90 b4 0.30 0.39
94.20 c5 0.30 0.39
94.50 a4 0.30 0.39
93.60 e4 1.20 0.39
94.80 b4 0.30 0.39
94.80 f4 0.45 0.39
95.10 c5 0.30 0.39
95.40 e5 0.30 0.39
95.70 d5 0.30 0.39
95.40 c4 1.80 0.39
96.00 g4 1.20 0.39
97.20 d5 0.30 0.39
97.50 c5 0.30 0.39
97.20 e4 1.80 0.39
97.80 b4 1.35 0.39
99.00 c5 0.30 0.39
99.00 f4 0.60 0.39
99.30 b4 0.30 0.39
99.60 a4 0.60 0.39
99.60 d4 0.60 0.39
100.20 g4 0.60 0.39
100.20 b3 0.60 0.39
100.80 a4 0.30 0.39
101.10 b4 0.30 0.39
101.40 c5 0.30 0.39
100.80 e4 1.05 0.39
101.70 a4 0.30 0.39
102.00 b4 0.30 0.39
102.00 f4 0.45 0.39
102.30 c5 0.30 0.39
102.60 e5 0.30 0.39
102.90 d5 0.30 0.39
102.60 c4 1.65 0.39
103.20 g4 1.20 0.39
104.40 d5 0.30 0.39
104.70 c5 0.30 0.39
104.40 b3 1.20 0.39
105.00 b4 0.60 0.39
105.60 g4 0.60 0.39
105.60 g3 0.60 0.39
106.20 a4 1.20 0.39
106.20 a3 1.35 0.39
106.20 e4 1.35 0.39
108.00 e4 0.30 0.39
108.30 f#4 0.30 0.39
108.60 g4 0.30 0.39
108.00 b3 1.20 0.39
108.90 e4 0.30 0.39
109.20 f#4 0.30 0.39
109.20 c4 0.45 0.39
109.50 g4 0.30 0.39
109.80 b4 0.30 0.39
110.10 a4 0.30 0.39
109.80 g3 1.80 0.39
110.40 d4 1.20 0.39
111.60 a4 0.30 0.39
111.90 g4 0.30 0.39
111.60 b3 1.80 0.39
112.20 f#4 1.35 0.39
113.40 g4 0.30 0.39
113.40 c4 0.60 0.39
113.70 f#4 0.30 0.39
114.00 a3 0.60 0.39
114.00 e4 0.60 0.39
114.60 f#3 0.60 0.39
114.60 d4 0.60 0.39
115.20 e4 0.30 0.39
115.50 f#4 0.30 0.39
115.80 g4 0.30 0.39
115.20 b3 1.05 0.39
116.10 e4 0.30 0.39
116.40 f#4 0.30 0.39
116.40 c4 0.45 0.39
116.70 g4 0.30 0.39
117.00 b4 0.30 0.39
117.30 a4 0.30 0.39
117.00 g3 1.65 0.39
117.60 d4 1.20 0.39
118.80 a4 0.30 0.39
119.10 g4 0.30 0.39
118.80 f#3 1.20 0.39
119.40 f#4 0.60 0.39
120.00 d4 0.60 0.39
120.00 d3 0.60 0.39
120.60 e4 1.20 0.39
120.60 e3 1.35 0.39
120.60 b3 1.35 0.39
122.40 a4 0.30 0.39
122.70 b4 0.30 0.39
123.00 c5 0.30 0.39
122.40 e4 1.20 0.39
123.30 a4 0.30 0.39
123.60 b4 0.30 0.39
123.60 f4 0.45 0.39
123.90 c5 0.30 0.39
124.20 e5 0.30 0.39
124.50 d5 0.30 0.39
124.20 c4 1.80 0.39
124.80 g4 1.20 0.39
126.00 d5 0.30 0.39
126.30 c5 0.30 0.39
126.00 e4 1.80 0.39
126.60 b4 1.35 0.39
127.80 c5 0.30 0.39
127.80 f4 0.60 0.39
128.10 b4 0.30 0.39
128.40 d4 0.60 0.39
128.40 a4 0.60 0.39
129.00 g4 0.60 0.39
129.00 b3 0.60 0.39
129.60 a4 0.30 0.39
129.90 b4 0.30 0.39
130.20 c5 0.30 0.39
129.60 e4 1.05 0.39
130.50 a4 0.30 0.39
130.80 b4 0.30 0.39
130.80 f4 0.45 0.39
131.10 c5 0.30 0.39
131.40 e5 0.30 0.39
131.70 d5 0.30 0.39
131.40 c4 1.65 0.39
132.00 g4 1.20 0.39
133.20 d5 0.30 0.39
133.50 c5 0.30 0.39
133.80 b4 0.60 0.39
133.20 b3 1.20 0.39
134.40 g4 0.60 0.39
134.40 g3 0.60 0.39
135.00 a4 1.20 0.39
135.00 a3 1.35 0.39
135.00 e4 1.35 0.39
136.80 e4 0.30 0.39
137.10 f#4 0.30 0.39
137.40 g4 0.30 0.39
136.80 b4 1.20 0.39
137.70 e4 0.30 0.39
136.80 b3 1.20 0.39
138.00 b4 0.30 0.39
138.00 f#4 0.30 0.39
138.00 c4 0.45 0.39
138.30 e5 0.30 0.39
138.30 g4 0.30 0.39
138.60 b4 0.30 0.39
138.90 a4 0.30 0.39
138.60 d5 1.20 0.39
138.60 g3 1.80 0.39
139.80 e5 0.60 0.39
139.20 d4 1.20 0.39
140.40 a4 0.30 0.39
140.40 a4 0.30 0.39
140.70 g4 0.30 0.39
141.60 g4 0.30 0.39
140.40 b3 1.80 0.39
141.90 a4 0.30 0.39
141.00 f#4 1.35 0.39
142.20 g4 0.30 0.39
142.20 c4 0.60 0.39
142.50 f#4 0.30 0.39
142.80 e4 0.60 0.39
142.20 c5 1.20 0.39
142.80 a3 0.60 0.39
143.40 d4 0.60 0.39
143.40 f#3 0.60 0.39
143.40 d5 0.60 0.39
144.00 e4 0.30 0.39
144.30 f#4 0.30 0.39
144.60 g4 0.30 0.39
144.00 b3 1.05 0.39
144.00 b4 1.20 0.39
144.90 e4 0.30 0.39
145.20 b4 0.30 0.39
145.20 f#4 0.30 0.39
145.20 c4 0.45 0.39
145.50 g4 0.30 0.39
145.50 e5 0.30 0.39
145.80 b4 0.30 0.39
146.10 a4 0.30 0.39
145.80 d5 1.20 0.39
147.00 e5 0.30 0.39
145.80 g3 1.65 0.39
146.40 d4 1.20 0.39
147.30 f#5 0.30 0.39
147.60 a4 0.30 0.39
147.60 g5 0.60 0.39
147.90 g4 0.30 0.39
