# Start of Music
bpm 60

num_parts 2

# Instrument: 

part
num_notes 342
4.40 f#2 0.40
4.80 f1 0.40
4.80 f2 0.40
5.20 f1 0.40
5.20 f2 0.40
5.60 f1 0.40
5.60 f2 0.40
6.00 g1 0.20
6.00 g2 0.20
6.20 a1 0.20
6.20 a2 0.20
6.40 a#1 0.40
6.40 a#2 0.40
6.80 a#1 0.13
6.80 a#2 0.13
6.93 a#1 0.13
6.93 a#2 0.13
7.07 g#1 0.13
7.07 g#2 0.13
7.20 a#1 0.40
7.20 a#2 0.40
7.60 a#1 0.40
7.60 a#2 0.40
8.00 g#1 0.40
8.00 g#2 0.40
8.40 g#1 0.13
8.40 g#2 0.13
8.53 g#1 0.13
8.53 g#2 0.13
8.67 f#1 0.13
8.67 f#2 0.13
8.80 g#1 0.40
8.80 g#2 0.40
9.20 g#1 0.40
9.20 g#2 0.40
9.60 f#1 0.40
9.60 f#2 0.40
10.00 f#1 0.13
10.00 f#2 0.13
10.13 f#1 0.13
10.13 f#2 0.13
10.27 e1 0.13
10.27 e2 0.13
10.40 f#1 0.40
10.40 f#2 0.40
10.80 f#1 0.40
10.80 f#2 0.40
11.20 c#2 0.40
11.20 c#3 0.40
11.60 c#2 0.13
11.60 c#3 0.13
11.73 c#2 0.13
11.73 c#3 0.13
11.87 b1 0.13
11.87 b2 0.13
12.00 c#2 0.40
12.00 c#3 0.40
12.40 c#2 0.40
12.40 c#3 0.40
12.80 b1 0.40
12.80 b2 0.40
13.20 b1 0.13
13.20 b2 0.13
13.33 b1 0.13
13.33 b2 0.13
13.47 a#1 0.13
13.47 a#2 0.13
13.60 b1 0.40
13.60 b2 0.40
14.00 b1 0.40
14.00 b2 0.40
14.40 a#1 0.40
14.40 a#2 0.40
14.80 a#1 0.13
14.80 a#2 0.13
14.93 a#1 0.13
14.93 a#2 0.13
15.07 g#1 0.13
15.07 g#2 0.13
15.20 a#1 0.40
15.20 a#2 0.40
15.60 a#1 0.40
15.60 a#2 0.40
16.00 c2 0.40
16.00 c3 0.40
16.40 c2 0.13
16.40 c3 0.13
16.53 c2 0.13
16.53 c3 0.13
16.67 c2 0.13
16.67 c3 0.13
16.80 c2 0.40
16.80 c3 0.40
17.20 c2 0.13
17.20 c3 0.13
17.33 c2 0.13
17.33 c3 0.13
17.47 c2 0.13
17.47 c3 0.13
17.60 f1 0.40
17.60 f2 0.40
18.00 f1 0.40
18.00 f2 0.40
18.40 f1 0.40
18.40 f2 0.40
18.80 g1 0.20
18.80 g2 0.20
19.00 a1 0.20
19.00 a2 0.20
19.20 a#1 0.40
19.20 a#2 0.40
19.60 a#1 0.13
19.60 a#2 0.13
19.73 a#1 0.13
19.73 a#2 0.13
19.87 g#1 0.13
19.87 g#2 0.13
20.00 a#1 0.40
20.00 a#2 0.40
20.40 a#1 0.40
20.40 a#2 0.40
20.80 g#1 0.40
20.80 g#2 0.40
21.20 g#1 0.13
21.20 g#2 0.13
21.33 g#1 0.13
21.33 g#2 0.13
21.47 f#1 0.13
21.47 f#2 0.13
21.60 g#1 0.40
21.60 g#2 0.40
22.00 g#1 0.40
22.00 g#2 0.40
22.40 f#1 0.40
22.40 f#2 0.40
22.80 f#1 0.13
22.80 f#2 0.13
22.93 f#1 0.13
22.93 f#2 0.13
23.07 e1 0.13
23.07 e2 0.13
23.20 f#1 0.40
23.20 f#2 0.40
23.60 f#1 0.40
23.60 f#2 0.40
24.00 f1 0.40
24.00 f2 0.40
24.40 f1 0.13
24.40 f2 0.13
24.53 f1 0.13
24.53 f2 0.13
24.67 d#1 0.13
24.67 d#2 0.13
24.80 f1 0.40
24.80 f2 0.40
25.20 f1 0.40
25.20 f2 0.40
25.60 e1 0.13
25.60 e2 0.13
25.73 a#1 0.13
25.73 a#2 0.13
25.87 c#2 0.13
25.87 c#3 0.13
26.00 e2 0.13
26.00 e3 0.13
26.13 a#2 0.13
26.13 a#3 0.13
26.27 c#3 0.13
26.27 c#4 0.13
26.40 e3 0.40
26.40 e4 0.40
27.20 f4 0.40
27.20 f3 0.40
27.60 f1 0.13
27.60 f2 0.13
27.73 f1 0.13
27.73 f2 0.13
27.87 f1 0.13
27.87 f2 0.13
28.00 f1 0.40
28.00 f2 0.40
28.80 e1 0.13
28.80 e2 0.13
28.93 a#1 0.13
28.93 a#2 0.13
29.07 c#2 0.13
29.07 c#3 0.13
29.20 e2 0.13
29.20 e3 0.13
29.33 a#2 0.13
29.33 a#3 0.13
29.47 c#3 0.13
29.47 c#4 0.13
29.60 e3 0.40
29.60 e4 0.40
30.40 f4 0.40
30.40 f3 0.40
30.80 f1 0.13
30.80 f2 0.13
30.93 f1 0.13
30.93 f2 0.13
31.07 f1 0.13
31.07 f2 0.13
31.20 f1 0.40
31.20 f2 0.40
32.00 b1 0.40
32.00 b2 0.40
32.40 b1 0.13
32.40 b2 0.13
32.53 b1 0.13
32.53 b2 0.13
32.67 a#1 0.13
32.67 a#2 0.13
32.80 b1 0.40
32.80 b2 0.40
33.20 b1 0.13
33.20 b2 0.13
33.33 b1 0.13
33.33 b2 0.13
33.47 b1 0.13
33.47 b2 0.13
33.60 a#1 0.40
33.60 a#2 0.40
34.00 a#1 0.13
34.00 a#2 0.13
34.13 a#1 0.13
34.13 a#2 0.13
34.27 g#1 0.13
34.27 g#2 0.13
34.40 a#1 0.40
34.40 a#2 0.40
34.80 a#1 0.13
34.80 a#2 0.13
34.93 a#1 0.13
34.93 a#2 0.13
35.07 a#1 0.13
35.07 a#2 0.13
35.20 c2 0.40
35.20 c3 0.40
35.60 c2 0.13
35.60 c3 0.13
35.73 c2 0.13
35.73 c3 0.13
35.87 c2 0.13
35.87 c3 0.13
36.00 c2 0.40
36.00 c3 0.40
36.40 c2 0.13
36.40 c3 0.13
36.53 c2 0.13
36.53 c3 0.13
36.67 c2 0.13
36.67 c3 0.13
36.80 f1 0.40
36.80 f2 0.40
37.20 f1 0.40
37.20 f2 0.40
37.60 f1 0.40
37.60 f2 0.40
38.00 g1 0.20
38.00 g2 0.20
38.20 a1 0.20
38.20 a2 0.20
38.40 a#0 1.60
38.40 a#1 1.60
end
