# Start of Music
bpm 60

num_parts 13

part
num_notes 1319
64.79 a4 0.47
65.29 e4 0.21
65.05 c#4 0.50
65.55 a4 0.20
65.56 a3 0.47
66.05 f#4 0.25
65.80 a4 0.68
66.30 a3 0.23
66.05 d3 0.51
66.56 d4 0.22
66.81 a3 0.16
66.56 f#4 0.56
66.30 f#5 0.95
67.05 b2 0.30
67.05 b4 0.48
67.30 f#3 0.45
67.79 b3 0.22
67.55 f#4 0.74
67.55 d5 0.77
68.04 d3 0.45
68.31 a3 0.22
68.05 a4 0.53
68.57 f#4 0.16
68.56 d4 0.22
68.80 a3 0.18
68.81 a4 0.18
69.06 b4 0.18
69.06 g5 0.19
69.06 b2 0.41
69.31 f#5 0.17
69.30 a4 0.18
69.31 f#3 0.21
69.55 g4 0.18
69.55 e5 0.19
69.55 b3 0.43
69.80 f#3 0.19
69.81 e5 0.24
69.81 g4 0.27
70.30 a3 0.23
70.05 d3 0.51
70.55 d4 0.27
70.05 a4 0.88
70.81 a3 0.17
70.80 f#4 0.52
70.05 f#5 1.43
71.06 b2 0.43
71.05 b4 0.49
71.31 f#3 0.48
71.81 b3 0.20
71.56 f#4 0.71
71.56 d5 0.75
72.31 a3 0.22
72.06 d3 0.48
72.06 a4 0.48
72.55 f#4 0.20
72.55 d4 0.22
72.79 a3 0.18
72.80 a4 0.18
73.05 b4 0.20
73.05 g5 0.21
73.05 b2 0.30
73.30 a4 0.18
73.30 f#5 0.18
73.30 f#3 0.22
73.55 g4 0.18
73.55 e5 0.19
73.55 b3 0.43
73.80 f#3 0.19
73.80 g4 0.32
73.80 e5 0.54
74.05 d3 0.47
74.31 a3 0.22
74.55 a4 0.18
74.54 f#5 0.21
74.54 d4 0.26
74.81 a3 0.18
74.80 f#4 0.32
74.80 d5 0.69
75.30 f#3 0.23
75.06 b2 0.52
75.55 g4 0.18
75.55 e5 0.20
75.55 b3 0.33
75.80 f#3 0.19
75.81 d4 0.31
76.30 a3 0.24
76.05 d3 0.52
75.81 a4 0.76
76.55 f#4 0.18
76.55 d4 0.23
76.80 a3 0.17
77.06 d4 0.26
77.06 b2 0.30
77.56 d4 0.16
77.55 f#4 0.19
77.30 f#3 0.49
77.80 d#5 0.18
77.80 b3 0.19
78.05 a4 0.28
78.07 e5 0.42
78.05 e3 0.44
78.06 d5 0.46
78.31 e4 0.29
78.55 f#5 0.21
78.81 a4 0.21
78.81 g5 0.23
78.81 d5 0.44
79.06 e4 0.21
79.30 a4 0.21
79.56 a4 0.17
79.56 d5 0.17
79.56 e5 0.17
79.80 e3 0.18
80.05 a2 0.26
80.05 c#5 0.27
80.05 e4 0.29
80.31 e3 0.18
80.05 a4 0.45
80.54 d5 0.21
80.80 e4 0.19
80.80 a4 0.20
80.80 c#5 0.22
80.80 e5 0.24
81.05 c#4 0.44
81.30 a4 0.21
81.56 a4 0.21
81.56 a3 0.27
81.56 d5 0.29
81.80 c#4 0.19
81.80 e5 0.21
82.06 f5 0.21
82.06 d5 0.23
82.06 a#4 0.26
82.06 f4 0.27
82.07 a#2 0.29
82.06 a#3 0.30
82.31 e5 0.20
82.56 d5 0.22
82.55 a#4 0.26
82.56 f4 0.27
82.55 a#2 0.30
82.55 a#3 0.30
83.06 a#4 0.24
83.06 f4 0.26
83.06 a#3 0.28
83.06 a#2 0.31
82.80 c5 0.70
83.56 f4 0.20
83.55 a4 0.21
83.56 a#3 0.23
83.81 a#4 0.21
83.80 f3 0.25
84.06 f4 0.21
84.06 c5 0.23
84.05 a4 0.24
84.05 f2 0.25
84.30 f3 0.18
84.56 a4 0.18
84.56 c5 0.19
84.55 f5 0.22
84.81 a3 0.17
84.55 c4 0.52
85.06 e5 0.22
85.06 c5 0.23
85.06 c3 0.25
85.06 g4 0.29
85.31 c4 0.18
85.31 d5 0.20
85.56 d5 0.23
85.56 e4 0.25
85.56 g4 0.26
85.80 c4 0.18
85.81 c5 0.21
86.06 d5 0.22
86.06 f4 0.29
86.05 a#4 0.31
86.30 c5 0.21
86.05 a#2 0.69
86.56 f4 0.20
86.56 a#4 0.23
86.56 c5 0.32
86.79 a#3 0.18
87.06 a4 0.22
87.05 f2 0.25
87.06 f4 0.24
87.30 f3 0.18
87.06 c5 0.45
87.56 f4 0.20
87.55 a3 0.27
87.55 a4 0.31
87.80 c4 0.18
87.80 a#4 0.20
88.06 a4 0.21
88.06 c5 0.22
88.05 f4 0.23
88.05 f2 0.24
88.30 c3 0.18
88.56 a4 0.17
88.55 f4 0.18
88.56 c5 0.18
88.55 f5 0.20
88.81 a3 0.17
88.56 c4 0.46
89.06 e5 0.21
89.05 c3 0.25
89.05 g5 0.25
89.05 g4 0.29
89.06 c5 0.29
89.30 c4 0.19
89.31 f5 0.20
89.56 e5 0.22
89.56 g4 0.23
89.56 e4 0.25
89.81 c4 0.17
89.82 d5 0.19
90.06 f4 0.25
90.06 a#4 0.27
90.06 d5 0.28
90.05 a#2 0.44
90.30 e5 0.21
90.56 f4 0.17
90.56 a#4 0.18
90.56 f5 0.20
90.57 a#3 0.23
91.05 c5 0.22
91.05 f5 0.22
91.05 f2 0.24
91.05 a4 0.26
91.30 f3 0.18
91.55 a4 0.20
91.56 g5 0.23
91.55 a3 0.28
91.80 c4 0.19
91.80 a5 0.20
92.05 d5 0.20
92.06 f5 0.19
92.05 a#5 0.21
92.05 a#3 0.42
92.05 a#2 0.43
92.30 d5 0.19
92.30 f5 0.21
92.30 a#5 0.21
92.56 d5 0.17
92.55 f5 0.19
92.55 a5 0.22
92.79 a#3 0.19
93.05 c5 0.25
93.05 e5 0.30
93.04 g5 0.45
93.29 c4 0.26
93.55 c5 0.22
93.05 c3 0.76
93.55 f5 0.31
93.80 c4 0.19
93.80 g5 0.21
94.05 c5 0.20
94.05 a5 0.20
94.05 f5 0.22
94.06 f4 0.30
94.06 f3 0.31
94.30 f5 0.19
94.29 a5 0.21
94.56 g5 0.19
94.55 c5 0.20
94.56 e5 0.20
94.56 e4 0.23
94.56 e3 0.29
94.80 f5 0.20
95.06 f5 0.20
95.06 d5 0.22
95.05 a4 0.23
95.06 d4 0.24
95.06 d3 0.27
95.54 g4 0.22
95.54 d5 0.23
95.55 c4 0.23
95.55 c3 0.24
95.79 c5 0.20
96.04 d5 0.21
96.04 f4 0.21
96.04 a#4 0.22
96.04 a#2 0.23
96.04 a#3 0.24
96.29 f5 0.22
96.54 f4 0.21
96.55 f3 0.20
96.54 a#4 0.22
96.54 f5 0.22
96.79 e5 0.27
97.05 a4 0.20
97.05 a2 0.22
97.04 c#5 0.22
97.05 a3 0.22
97.30 a4 0.21
97.30 e5 0.21
97.30 c#5 0.22
97.55 e3 0.19
97.54 e4 0.19
97.55 f#5 0.18
98.29 d4 0.23
97.80 f#5 0.76
98.55 f#4 0.18
