# Outputted with MidiToZac v0.2
# Start of Music
bpm 60

num_parts 2

# Instrument: Acoustic Grand Piano

part
num_notes 269
22.34 e3 0.19 0.50
22.15 d4 0.38 0.42
22.53 d3 0.19 0.54
22.72 d3 0.19 0.50
22.53 d4 0.38 0.45
22.90 d3 0.19 0.51
23.09 d3 0.19 0.50
22.90 a3 0.38 0.42
23.28 d3 0.19 0.53
23.47 d3 0.19 0.50
23.28 f3 0.38 0.43
23.65 d3 0.19 0.51
23.84 d3 0.19 0.50
23.65 a3 0.38 0.42
24.03 c3 0.19 0.54
24.22 c3 0.19 0.50
24.03 g3 0.38 0.45
24.40 c3 0.19 0.50
24.59 c3 0.19 0.50
24.40 e3 0.38 0.42
24.78 c3 0.19 0.52
24.97 c3 0.19 0.50
24.78 g3 0.38 0.43
25.15 d3 0.19 0.51
25.34 e3 0.19 0.50
25.15 g3 0.38 0.42
25.53 f3 0.19 0.54
25.72 f3 0.19 0.50
25.53 e4 0.38 0.45
25.90 f3 0.19 0.51
26.09 f3 0.19 0.50
25.90 c4 0.38 0.42
26.28 f3 0.19 0.53
26.47 f3 0.19 0.50
26.28 a3 0.38 0.43
26.65 f3 0.38 0.42
26.84 f3 0.19 0.50
27.03 e3 0.19 0.54
27.22 e3 0.19 0.50
27.03 d4 0.38 0.45
27.40 e3 0.19 0.51
27.59 e3 0.19 0.50
27.40 b3 0.38 0.42
27.78 e3 0.19 0.53
27.97 c3 0.19 0.50
27.78 g3 0.38 0.43
28.15 d3 0.19 0.51
28.34 e3 0.19 0.50
28.15 d4 0.38 0.42
28.53 f3 0.19 0.54
28.72 f3 0.19 0.50
28.53 e4 0.38 0.45
28.90 f3 0.19 0.51
29.09 f3 0.19 0.50
28.90 c4 0.38 0.42
29.28 f3 0.19 0.53
29.47 f3 0.19 0.50
29.28 a3 0.38 0.43
29.65 f3 0.38 0.42
29.84 f3 0.19 0.50
30.03 e3 0.19 0.54
30.22 e3 0.19 0.50
30.03 d4 0.38 0.45
30.40 e3 0.19 0.51
30.59 e3 0.19 0.50
30.40 b3 0.38 0.42
30.78 e3 0.19 0.53
30.97 c3 0.19 0.50
30.78 g3 0.38 0.43
31.15 d3 0.19 0.51
31.34 e3 0.19 0.50
31.15 d4 0.38 0.42
31.53 f3 0.19 0.54
31.72 f3 0.19 0.50
31.53 e4 0.38 0.45
31.90 f3 0.19 0.51
32.09 f3 0.19 0.50
31.90 c4 0.38 0.42
32.28 f3 0.19 0.53
32.47 f3 0.19 0.50
32.28 a3 0.38 0.43
32.65 f3 0.38 0.42
32.84 f3 0.19 0.50
33.03 e3 0.19 0.54
33.22 e3 0.19 0.50
33.03 d4 0.38 0.45
33.40 e3 0.19 0.51
33.59 e3 0.19 0.50
33.40 b3 0.38 0.42
33.78 e3 0.19 0.53
33.97 c3 0.19 0.50
33.78 g3 0.38 0.43
34.15 d3 0.19 0.51
34.34 e3 0.19 0.50
34.15 d4 0.38 0.42
34.53 d3 0.19 0.54
34.72 d3 0.19 0.50
34.53 d4 0.38 0.45
34.90 d3 0.19 0.51
35.09 d3 0.19 0.50
34.90 a3 0.38 0.42
35.28 d3 0.19 0.53
35.47 d3 0.19 0.50
35.28 f3 0.38 0.43
35.65 d3 0.19 0.51
35.84 d3 0.19 0.50
35.65 a3 0.38 0.42
36.03 c3 0.19 0.54
36.22 c3 0.19 0.50
36.03 g3 0.38 0.45
36.40 c3 0.19 0.50
36.59 c3 0.19 0.50
36.40 e3 0.38 0.42
36.78 c3 0.19 0.52
36.97 c3 0.19 0.50
36.78 g3 0.38 0.43
37.15 d3 0.19 0.51
37.34 e3 0.19 0.50
37.15 g3 0.38 0.42
37.53 a#3 0.19 0.45
37.72 f3 0.19 0.41
37.90 d4 0.19 0.42
38.09 f3 0.19 0.41
38.28 a#3 0.19 0.43
38.47 f3 0.19 0.41
38.65 d4 0.19 0.42
38.84 f3 0.19 0.41
39.03 a#3 0.19 0.45
39.22 f3 0.19 0.41
39.40 d4 0.19 0.42
39.59 f3 0.19 0.41
39.78 a#3 0.19 0.43
39.97 f3 0.19 0.41
40.15 d4 0.19 0.42
40.34 f3 0.19 0.41
40.53 a3 0.19 0.45
40.72 e3 0.19 0.41
40.90 c4 0.19 0.42
41.09 e3 0.19 0.41
41.28 a3 0.19 0.43
41.47 e3 0.19 0.41
41.65 c4 0.19 0.42
41.84 e3 0.19 0.41
42.03 a3 0.19 0.45
42.22 e3 0.19 0.41
42.40 c4 0.19 0.42
42.59 e3 0.19 0.41
42.78 a3 0.19 0.43
42.97 e3 0.19 0.41
43.15 c4 0.19 0.42
43.34 e3 0.19 0.41
43.53 g#3 0.19 0.45
43.72 d#3 0.19 0.41
43.90 c4 0.19 0.42
44.09 d#3 0.19 0.41
44.28 g#3 0.19 0.43
44.47 d#3 0.19 0.41
44.65 c4 0.19 0.42
44.84 d#3 0.19 0.41
45.03 g#3 0.19 0.45
45.22 d#3 0.19 0.41
45.40 c4 0.19 0.42
45.59 d#3 0.19 0.41
45.78 g#3 0.19 0.43
45.97 d#3 0.19 0.41
46.15 c4 0.19 0.42
46.34 d#3 0.19 0.41
46.53 c4 0.19 0.45
46.72 g3 0.19 0.41
46.90 e4 0.19 0.42
47.09 g3 0.19 0.41
47.28 c4 0.19 0.43
47.47 g3 0.19 0.41
47.65 e4 0.19 0.42
47.84 g3 0.19 0.41
48.03 c4 0.19 0.45
48.22 g3 0.19 0.41
48.40 e4 0.19 0.42
48.59 g3 0.19 0.41
48.78 c4 0.19 0.43
48.97 g3 0.19 0.41
49.15 e4 0.19 0.42
49.34 g3 0.19 0.41
end
