# Start of Music
bpm 60

num_parts 2

# Instrument: Right Hand

part
num_notes 1682
87.15 f5 0.07
87.23 e5 0.07
87.32 c5 0.07
87.40 d5 0.14
87.56 f5 0.14
87.56 a5 0.14
87.73 g5 0.07
87.81 a5 0.07
87.89 g5 0.07
87.98 a5 0.07
88.06 f5 0.14
88.06 c6 0.14
88.22 a5 0.14
88.39 g5 0.14
88.55 a5 0.14
88.72 f4 0.14
88.72 a4 0.14
88.88 d5 0.14
88.88 f5 0.14
89.05 e5 0.07
89.13 f5 0.07
89.21 e5 0.14
89.38 c5 0.14
89.38 g5 0.14
89.54 f5 0.14
89.71 e5 0.07
89.79 f5 0.07
89.87 e5 0.07
89.95 c5 0.07
90.04 d5 0.14
90.20 f5 0.14
90.20 a5 0.14
90.37 g5 0.07
90.45 a5 0.07
90.53 g5 0.07
90.61 a5 0.07
90.70 f5 0.14
90.70 c#6 0.14
90.86 a5 0.14
91.03 g5 0.14
91.19 a5 0.14
91.36 f4 0.14
91.36 a4 0.14
91.52 d5 0.14
91.52 f5 0.14
91.69 e5 0.07
91.77 f5 0.07
91.85 e5 0.14
92.01 c5 0.14
92.01 g5 0.14
92.18 f5 0.14
92.34 e5 0.07
92.43 f5 0.07
92.51 e5 0.07
92.59 c5 0.07
92.67 d5 0.14
92.84 f5 0.14
92.84 a5 0.14
93.00 g5 0.07
93.09 a5 0.07
93.17 g5 0.07
93.25 a5 0.07
93.33 f5 0.14
93.33 c6 0.14
93.50 a5 0.14
93.66 f5 0.14
93.83 f#5 0.14
93.99 g4 0.14
93.99 d5 0.14
93.99 g5 0.14
94.16 a#4 0.07
94.24 d5 0.07
94.32 a#4 0.14
94.49 d5 0.14
94.49 g5 0.14
94.65 e5 0.14
94.65 a5 0.14
94.82 a4 0.07
94.90 e5 0.07
94.90 a5 0.07
94.98 a4 0.14
95.15 e5 0.14
95.15 a5 0.14
95.31 f5 0.14
95.31 a#5 0.14
95.48 d5 0.14
95.64 f5 0.14
95.64 b5 0.14
95.81 d5 0.14
95.97 e5 0.55
95.97 g5 0.55
95.97 c6 0.55
96.63 f4 0.14
96.63 a4 0.14
96.79 d5 0.14
96.79 f5 0.14
96.96 e5 0.07
97.04 f5 0.07
97.12 e5 0.14
97.29 c5 0.14
97.29 g5 0.14
97.45 f5 0.14
97.62 e5 0.07
97.70 f5 0.07
97.78 e5 0.07
97.87 c5 0.07
97.95 d5 0.14
98.11 f5 0.14
98.11 a5 0.14
98.28 g5 0.07
98.36 a5 0.07
98.44 g5 0.07
98.53 a5 0.07
98.61 f5 0.14
98.61 c6 0.14
98.77 a5 0.14
98.94 g5 0.14
99.10 a5 0.14
99.27 f4 0.14
99.27 a4 0.14
99.43 d5 0.14
99.43 f5 0.14
99.60 e5 0.07
99.68 f5 0.07
99.76 e5 0.14
99.93 c5 0.14
99.93 g5 0.14
100.09 f5 0.14
100.26 e5 0.07
100.34 f5 0.07
100.42 e5 0.07
100.50 c5 0.07
100.59 d5 0.14
100.75 f5 0.14
100.75 a5 0.14
100.92 g5 0.07
101.00 a5 0.07
101.08 g5 0.07
101.16 a5 0.07
101.25 f5 0.14
101.25 c#6 0.14
101.41 a5 0.14
101.58 g5 0.14
101.74 a5 0.14
101.90 f4 0.14
101.90 a4 0.14
102.07 d5 0.14
102.07 f5 0.14
102.23 e5 0.07
102.32 f5 0.07
102.40 e5 0.14
102.56 c5 0.14
102.56 g5 0.14
102.73 f5 0.14
102.89 e5 0.07
102.98 f5 0.07
103.06 e5 0.07
103.14 c5 0.07
103.22 d5 0.14
103.39 f5 0.14
103.39 a5 0.14
103.55 g5 0.07
103.64 a5 0.07
103.72 g5 0.07
103.80 a5 0.07
103.88 f5 0.14
103.88 c6 0.14
104.05 a5 0.14
104.21 f5 0.14
104.38 f#5 0.14
104.54 g4 0.14
104.54 d5 0.14
104.54 g5 0.14
104.71 a#4 0.07
104.79 d5 0.07
104.87 a#4 0.14
105.04 d5 0.14
105.04 g5 0.14
105.20 c5 0.14
105.20 e5 0.14
105.20 a5 0.14
105.37 g5 0.14
105.53 f5 0.14
105.70 e5 0.14
105.86 f4 1.10
105.86 a4 1.10
105.86 d5 1.10
107.18 d3 0.05
107.34 a3 0.05
107.51 g3 0.07
107.59 a3 0.05
107.75 e3 0.05
107.92 f3 0.05
108.08 a3 0.07
108.16 g3 0.07
108.25 f3 0.07
108.33 e3 0.07
108.41 d3 0.12
108.66 a3 0.05
108.82 g3 0.07
108.90 a3 0.05
109.06 e3 0.05
109.23 f3 0.05
109.39 a3 0.03
109.47 c3 0.05
109.64 c#3 0.05
109.80 d3 0.05
109.97 a3 0.05
110.13 g3 0.07
110.21 a3 0.05
110.38 e3 0.05
110.54 f3 0.05
110.70 a3 0.07
110.79 g3 0.07
110.87 f3 0.07
110.95 e3 0.07
111.03 d3 0.12
111.28 a3 0.05
111.44 g3 0.07
111.52 a3 0.05
111.69 e3 0.05
111.85 f3 0.05
112.02 a3 0.03
112.10 c3 0.05
112.26 c#3 0.05
112.43 d3 0.05
112.59 a3 0.05
112.75 g3 0.07
112.84 a3 0.05
113.00 e3 0.05
113.16 f3 0.05
113.33 a3 0.07
113.41 g3 0.07
113.49 f3 0.07
113.57 e3 0.07
113.65 d3 0.12
113.90 a3 0.05
114.06 g3 0.07
114.15 a3 0.05
114.31 e3 0.05
114.47 f3 0.05
114.64 a3 0.03
114.72 c3 0.05
114.88 c#3 0.05
115.05 d3 0.05
115.21 a3 0.05
115.38 g3 0.07
115.46 a3 0.05
115.62 e3 0.05
115.79 f3 0.05
115.95 a3 0.07
116.03 g3 0.07
116.11 f3 0.07
116.20 e3 0.07
116.28 d3 0.15
116.52 a3 0.05
116.69 g3 0.07
116.77 a3 0.05
116.93 c4 0.05
117.10 c4 0.07
117.18 a3 0.14
117.34 c4 0.14
117.34 e4 0.14
117.51 c4 0.07
117.59 c#4 0.07
117.67 a3 0.05
117.67 d4 0.05
117.84 f4 0.05
117.84 a4 0.05
118.00 g4 0.07
118.08 a4 0.05
118.25 c4 0.05
118.25 e4 0.05
118.41 d4 0.05
118.41 f4 0.05
118.58 a4 0.07
118.66 g4 0.07
118.74 f4 0.07
118.83 e4 0.07
118.91 d4 0.12
119.15 f4 0.05
119.15 a4 0.05
119.32 g4 0.07
119.40 a4 0.05
119.57 c4 0.14
119.57 e4 0.14
119.73 d4 0.07
119.73 f4 0.07
119.81 a4 0.05
119.98 a3 0.05
119.98 c4 0.05
120.14 a3 0.05
120.14 c#4 0.05
120.31 a3 0.05
120.31 d4 0.05
120.47 f4 0.05
120.47 a4 0.05
120.64 g4 0.07
120.72 a4 0.05
120.89 c4 0.05
120.89 e4 0.05
121.05 d4 0.05
121.05 f4 0.05
121.22 a4 0.07
121.30 g4 0.07
121.38 f4 0.07
121.46 e4 0.07
121.54 d4 0.12
121.79 f4 0.05
121.79 a4 0.05
121.96 g4 0.07
122.04 a4 0.05
122.20 c4 0.14
122.20 e4 0.14
122.37 d4 0.07
122.37 f4 0.07
122.45 a4 0.05
122.62 a3 0.05
122.62 c4 0.05
122.78 a3 0.05
122.78 c#4 0.05
122.95 a3 0.05
122.95 d4 0.05
123.11 f4 0.05
123.11 a4 0.05
123.28 g4 0.07
123.36 a4 0.05
123.52 c4 0.05
123.52 e4 0.05
123.69 d4 0.05
123.69 f4 0.05
123.85 a4 0.07
123.94 g4 0.07
124.02 f4 0.07
124.10 e4 0.07
124.18 d4 0.12
124.43 f4 0.05
124.43 a4 0.05
124.59 g4 0.07
124.68 a4 0.05
124.84 c4 0.14
124.84 e4 0.14
125.01 d4 0.07
125.01 f4 0.07
125.09 a4 0.05
125.25 a3 0.05
125.25 c4 0.05
125.42 a3 0.05
125.42 c#4 0.05
125.58 a3 0.05
125.58 d4 0.05
125.75 f4 0.05
125.75 a4 0.05
125.91 g4 0.07
126.00 a4 0.05
126.16 c4 0.05
126.16 e4 0.05
126.33 d4 0.05
126.33 f4 0.05
126.49 a4 0.07
126.57 g4 0.07
126.65 f4 0.07
126.74 e4 0.07
126.82 d4 0.12
126.94 a3 0.03
126.98 b3 0.03
127.03 c4 0.03
127.07 d4 0.03
127.11 e4 0.03
127.15 f4 0.03
127.19 g4 0.03
127.23 a4 0.03
127.27 b4 0.03
127.31 c5 0.03
127.36 d5 0.03
127.40 e5 0.03
127.44 f5 0.03
127.48 g5 0.03
127.52 a5 0.03
127.56 b5 0.03
127.60 c6 0.03
127.64 d6 0.03
127.69 e6 0.03
127.73 f6 0.03
127.77 g6 0.03
127.81 a6 0.03
127.85 b6 0.03
127.89 c7 0.03
127.93 d7 0.03
128.22 f4 0.14
128.22 a4 0.14
128.39 d5 0.14
128.39 f5 0.14
128.55 e5 0.07
128.63 f5 0.07
128.72 e5 0.14
128.88 c5 0.14
128.88 g5 0.14
129.04 f5 0.14
129.21 e5 0.07
129.29 f5 0.07
129.37 e5 0.07
129.46 c5 0.07
129.54 d5 0.14
129.70 f5 0.14
129.70 a5 0.14
